 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4232 	 0.0000 	 0.0000 	 0.0000  
  0.2469 	 0.4229 	 0.0000 	 0.0000 	 0.0000  
  0.3086 	 0.4344 	 0.0000 	 0.0000 	 0.0000  
  0.3704 	 0.4551 	 0.0000 	 0.0000 	 0.0000  
  0.4321 	 0.4734 	 0.0000 	 0.0000 	 0.0000  
  0.4938 	 0.4801 	 0.0000 	 0.0000 	 0.0000  
  0.5556 	 0.4728 	 -0.0000 	 0.0000 	 0.0000  
  0.6173 	 0.4541 	 -0.0000 	 0.0000 	 0.0000  
  0.6790 	 0.4336 	 0.0000 	 0.0000 	 0.0000  
  0.7407 	 0.4228 	 -0.0000 	 0.0000 	 0.0000  
  0.8025 	 0.4226 	 -0.0000 	 0.0000 	 0.0000  
 
