 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4375 	 0.0000 	 0.0024 	 23.9544  
  0.2469 	 0.4375 	 0.0001 	 0.0091 	 90.6796  
  0.3086 	 0.4377 	 0.0003 	 0.0258 	 258.4452  
  0.3704 	 0.4379 	 0.0005 	 0.0546 	 546.2208  
  0.4321 	 0.4382 	 0.0004 	 0.0852 	 852.2890  
  0.4938 	 0.4383 	 -0.0000 	 0.0985 	 984.5120  
  0.5556 	 0.4382 	 -0.0004 	 0.0840 	 840.0944  
  0.6173 	 0.4379 	 -0.0005 	 0.0531 	 530.7696  
  0.6790 	 0.4376 	 -0.0003 	 0.0247 	 247.4547  
  0.7407 	 0.4375 	 -0.0001 	 0.0086 	 85.6211  
  0.8025 	 0.4375 	 -0.0000 	 0.0022 	 22.2802  
 
