 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0088 	 0.0034 	 94.5130
  0.1235 	 0.0370 	 0.0012 	 -0.0010 	 15.2096
  0.1852 	 0.0370 	 0.0015 	 0.0002 	 15.5452
  0.2469 	 0.0370 	 0.0015 	 0.0002 	 15.0157
  0.3086 	 0.0370 	 0.0011 	 0.0003 	 11.6568
  0.3704 	 0.0370 	 0.0006 	 0.0003 	 6.8353
  0.4321 	 0.0370 	 0.0002 	 0.0002 	 2.9667
  0.4938 	 0.0370 	 -0.0001 	 0.0002 	 1.7278
  0.5556 	 0.0370 	 -0.0003 	 0.0002 	 3.8799
  0.6173 	 0.0370 	 -0.0007 	 0.0003 	 7.8547
  0.6790 	 0.0370 	 -0.0013 	 0.0003 	 13.1672
  0.7407 	 0.0370 	 -0.0018 	 0.0003 	 18.1542
  0.8025 	 0.0370 	 -0.0020 	 0.0001 	 20.3693
  0.8642 	 0.0370 	 -0.0018 	 0.0001 	 18.3731
  0.9259 	 0.0370 	 -0.0020 	 -0.0011 	 22.6160
  0.0617 	 0.0741 	 -0.0001 	 0.0037 	 36.8151
  0.1235 	 0.0741 	 0.0013 	 -0.0010 	 16.1496
  0.1852 	 0.0741 	 0.0021 	 0.0000 	 21.4394
  0.2469 	 0.0741 	 0.0022 	 0.0004 	 22.2916
  0.3086 	 0.0741 	 0.0018 	 0.0007 	 19.2983
  0.3704 	 0.0741 	 0.0012 	 0.0008 	 13.9157
  0.4321 	 0.0741 	 0.0005 	 0.0006 	 8.3410
  0.4938 	 0.0741 	 -0.0000 	 0.0005 	 5.4597
  0.5556 	 0.0741 	 -0.0006 	 0.0006 	 8.0914
  0.6173 	 0.0741 	 -0.0012 	 0.0007 	 13.9763
  0.6790 	 0.0741 	 -0.0019 	 0.0008 	 20.6248
  0.7407 	 0.0741 	 -0.0025 	 0.0007 	 25.6427
  0.8025 	 0.0741 	 -0.0027 	 0.0003 	 27.0502
  0.8642 	 0.0741 	 -0.0024 	 -0.0002 	 23.5918
  0.9259 	 0.0741 	 -0.0013 	 -0.0012 	 17.2512
  0.0617 	 0.1111 	 0.0008 	 -0.0004 	 9.3464
  0.1235 	 0.1111 	 0.0022 	 -0.0013 	 25.5152
  0.1852 	 0.1111 	 0.0030 	 -0.0002 	 29.9612
  0.2469 	 0.1111 	 0.0031 	 0.0006 	 32.0138
  0.3086 	 0.1111 	 0.0027 	 0.0012 	 29.4734
  0.3704 	 0.1111 	 0.0019 	 0.0014 	 23.2807
  0.4321 	 0.1111 	 0.0009 	 0.0013 	 15.6963
  0.4938 	 0.1111 	 0.0001 	 0.0011 	 11.2456
  0.5556 	 0.1111 	 -0.0008 	 0.0012 	 14.4323
  0.6173 	 0.1111 	 -0.0018 	 0.0014 	 22.4670
  0.6790 	 0.1111 	 -0.0027 	 0.0014 	 30.6778
  0.7407 	 0.1111 	 -0.0034 	 0.0011 	 35.7124
  0.8025 	 0.1111 	 -0.0036 	 0.0004 	 36.0003
  0.8642 	 0.1111 	 -0.0031 	 -0.0005 	 31.3867
  0.9259 	 0.1111 	 -0.0021 	 -0.0015 	 26.3053
  0.0617 	 0.1481 	 0.0015 	 -0.0019 	 24.6357
  0.1235 	 0.1481 	 0.0030 	 -0.0018 	 35.2086
  0.1852 	 0.1481 	 0.0041 	 -0.0005 	 41.4085
  0.2469 	 0.1481 	 0.0044 	 0.0008 	 45.0150
  0.3086 	 0.1481 	 0.0039 	 0.0018 	 43.0606
  0.3704 	 0.1481 	 0.0028 	 0.0022 	 35.7812
  0.4321 	 0.1481 	 0.0015 	 0.0021 	 25.8048
  0.4938 	 0.1481 	 0.0002 	 0.0019 	 19.5379
  0.5556 	 0.1481 	 -0.0012 	 0.0020 	 23.4690
  0.6173 	 0.1481 	 -0.0026 	 0.0022 	 34.0645
  0.6790 	 0.1481 	 -0.0038 	 0.0022 	 44.1097
  0.7407 	 0.1481 	 -0.0047 	 0.0015 	 49.1025
  0.8025 	 0.1481 	 -0.0048 	 0.0004 	 47.8085
  0.8642 	 0.1481 	 -0.0040 	 -0.0009 	 41.4040
  0.9259 	 0.1481 	 -0.0027 	 -0.0021 	 34.5553
  0.0617 	 0.1852 	 0.0018 	 -0.0032 	 36.8349
  0.1235 	 0.1852 	 0.0040 	 -0.0027 	 48.1844
  0.1852 	 0.1852 	 0.0056 	 -0.0011 	 56.6871
  0.2469 	 0.1852 	 0.0062 	 0.0008 	 62.5386
  0.3086 	 0.1852 	 0.0057 	 0.0024 	 61.6324
  0.3704 	 0.1852 	 0.0042 	 0.0032 	 53.1072
  0.4321 	 0.1852 	 0.0023 	 0.0033 	 40.0832
  0.4938 	 0.1852 	 0.0003 	 0.0031 	 31.4254
  0.5556 	 0.1852 	 -0.0017 	 0.0032 	 36.4805
  0.6173 	 0.1852 	 -0.0037 	 0.0034 	 50.3800
  0.6790 	 0.1852 	 -0.0054 	 0.0031 	 62.5427
  0.7407 	 0.1852 	 -0.0064 	 0.0020 	 67.0418
  0.8025 	 0.1852 	 -0.0063 	 0.0003 	 63.2482
  0.8642 	 0.1852 	 -0.0052 	 -0.0016 	 54.2479
  0.9259 	 0.1852 	 -0.0034 	 -0.0031 	 45.4826
  0.0617 	 0.2222 	 0.0022 	 -0.0048 	 52.5827
