 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4773 	 -0.0000 	 0.0000 	 0.0000  
  0.2469 	 0.4683 	 0.0000 	 0.0000 	 0.0000  
  0.3086 	 0.4532 	 0.0000 	 0.0000 	 0.0000  
  0.3704 	 0.4202 	 -0.0000 	 0.0000 	 0.0000  
  0.4321 	 0.3810 	 -0.0000 	 0.0000 	 0.0000  
  0.4938 	 0.3657 	 -0.0000 	 0.0000 	 0.0000  
  0.5556 	 0.3809 	 0.0000 	 0.0000 	 0.0000  
  0.6173 	 0.4197 	 0.0000 	 0.0000 	 0.0000  
  0.6790 	 0.4521 	 0.0000 	 0.0000 	 0.0000  
  0.7407 	 0.4661 	 0.0000 	 0.0000 	 0.0000  
  0.8025 	 0.4728 	 0.0000 	 0.0000 	 0.0000  
 
