 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4375 	 -0.0000 	 0.0011 	 10.7176  
  0.2469 	 0.4376 	 -0.0001 	 0.0037 	 36.7902  
  0.3086 	 0.4376 	 -0.0002 	 0.0098 	 98.1996  
  0.3704 	 0.4376 	 -0.0002 	 0.0199 	 199.0961  
  0.4321 	 0.4376 	 -0.0002 	 0.0306 	 305.5153  
  0.4938 	 0.4376 	 -0.0000 	 0.0351 	 350.6117  
  0.5556 	 0.4376 	 0.0002 	 0.0302 	 302.1761  
  0.6173 	 0.4376 	 0.0002 	 0.0194 	 194.4727  
  0.6790 	 0.4376 	 0.0002 	 0.0094 	 94.4395  
  0.7407 	 0.4376 	 0.0001 	 0.0035 	 34.7292  
  0.8025 	 0.4375 	 0.0000 	 0.0010 	 10.0442  
 
