 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0044 	 0.0020 	 48.0102
  0.1235 	 0.0370 	 0.0023 	 -0.0018 	 29.2934
  0.1852 	 0.0370 	 0.0015 	 -0.0005 	 15.3420
  0.2469 	 0.0370 	 0.0022 	 0.0001 	 22.3707
  0.3086 	 0.0370 	 0.0026 	 -0.0001 	 26.1500
  0.3704 	 0.0370 	 0.0024 	 0.0002 	 24.2037
  0.4321 	 0.0370 	 0.0017 	 0.0004 	 17.2605
  0.4938 	 0.0370 	 0.0006 	 0.0005 	 7.4944
  0.5556 	 0.0370 	 -0.0006 	 0.0005 	 7.8533
  0.6173 	 0.0370 	 -0.0016 	 0.0003 	 16.1215
  0.6790 	 0.0370 	 -0.0020 	 0.0001 	 20.1386
  0.7407 	 0.0370 	 -0.0019 	 -0.0002 	 18.8887
  0.8025 	 0.0370 	 -0.0012 	 0.0000 	 12.0371
  0.8642 	 0.0370 	 -0.0006 	 -0.0005 	 7.4609
  0.9259 	 0.0370 	 -0.0024 	 -0.0017 	 28.9693
  0.0617 	 0.0741 	 0.0011 	 0.0034 	 35.9985
  0.1235 	 0.0741 	 -0.0005 	 -0.0006 	 8.1111
  0.1852 	 0.0741 	 -0.0002 	 -0.0009 	 9.4829
  0.2469 	 0.0741 	 0.0010 	 -0.0006 	 11.6251
  0.3086 	 0.0741 	 0.0019 	 -0.0004 	 19.7987
  0.3704 	 0.0741 	 0.0023 	 0.0003 	 23.0567
  0.4321 	 0.0741 	 0.0018 	 0.0009 	 20.0900
  0.4938 	 0.0741 	 0.0006 	 0.0013 	 14.0009
  0.5556 	 0.0741 	 -0.0007 	 0.0012 	 14.1417
  0.6173 	 0.0741 	 -0.0016 	 0.0007 	 17.9748
  0.6790 	 0.0741 	 -0.0017 	 0.0000 	 16.7512
  0.7407 	 0.0741 	 -0.0009 	 -0.0006 	 10.8758
  0.8025 	 0.0741 	 0.0002 	 -0.0007 	 7.0785
  0.8642 	 0.0741 	 0.0013 	 -0.0008 	 14.9085
  0.9259 	 0.0741 	 0.0009 	 -0.0003 	 9.6957
  0.0617 	 0.1111 	 -0.0027 	 0.0028 	 39.1330
  0.1235 	 0.1111 	 -0.0024 	 -0.0004 	 24.7069
  0.1852 	 0.1111 	 -0.0025 	 -0.0013 	 28.2782
  0.2469 	 0.1111 	 -0.0012 	 -0.0015 	 19.0569
  0.3086 	 0.1111 	 0.0006 	 -0.0012 	 13.7295
  0.3704 	 0.1111 	 0.0019 	 -0.0000 	 19.3420
  0.4321 	 0.1111 	 0.0019 	 0.0013 	 23.1927
  0.4938 	 0.1111 	 0.0007 	 0.0022 	 22.5120
  0.5556 	 0.1111 	 -0.0009 	 0.0020 	 21.9392
  0.6173 	 0.1111 	 -0.0016 	 0.0009 	 18.6262
  0.6790 	 0.1111 	 -0.0009 	 -0.0005 	 10.5671
  0.7407 	 0.1111 	 0.0008 	 -0.0016 	 17.5833
  0.8025 	 0.1111 	 0.0026 	 -0.0015 	 30.4199
  0.8642 	 0.1111 	 0.0035 	 -0.0010 	 36.0765
  0.9259 	 0.1111 	 0.0028 	 0.0001 	 28.2872
  0.0617 	 0.1481 	 -0.0032 	 0.0028 	 42.6954
  0.1235 	 0.1481 	 -0.0049 	 0.0005 	 49.1763
  0.1852 	 0.1481 	 -0.0061 	 -0.0014 	 62.3220
  0.2469 	 0.1481 	 -0.0048 	 -0.0027 	 55.3529
  0.3086 	 0.1481 	 -0.0021 	 -0.0028 	 34.6230
  0.3704 	 0.1481 	 0.0004 	 -0.0010 	 10.7382
  0.4321 	 0.1481 	 0.0013 	 0.0014 	 19.4430
  0.4938 	 0.1481 	 0.0006 	 0.0030 	 30.3831
  0.5556 	 0.1481 	 -0.0006 	 0.0027 	 27.4948
