 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 -0.0007 	 -0.0000 	 7.0628
  0.1235 	 0.0370 	 -0.0040 	 0.0001 	 39.6403
  0.1852 	 0.0370 	 -0.0136 	 0.0004 	 135.6223
  0.2469 	 0.0370 	 -0.0341 	 0.0007 	 340.6980
  0.3086 	 0.0370 	 -0.0616 	 0.0009 	 616.1888
  0.3704 	 0.0370 	 -0.0776 	 0.0011 	 775.8003
  0.4321 	 0.0370 	 -0.0600 	 0.0018 	 600.1687
  0.4938 	 0.0370 	 -0.0088 	 0.0022 	 90.9770
  0.5556 	 0.0370 	 0.0458 	 0.0016 	 458.4154
  0.6173 	 0.0370 	 0.0729 	 0.0010 	 728.6226
  0.6790 	 0.0370 	 0.0664 	 0.0007 	 664.4845
  0.7407 	 0.0370 	 0.0432 	 0.0007 	 431.7560
  0.8025 	 0.0370 	 0.0212 	 0.0006 	 211.5823
  0.8642 	 0.0370 	 0.0080 	 0.0002 	 80.0531
  0.9259 	 0.0370 	 0.0024 	 0.0001 	 23.7804
  0.0617 	 0.0741 	 -0.0008 	 0.0000 	 8.3291
  0.1235 	 0.0741 	 -0.0042 	 0.0001 	 42.3719
  0.1852 	 0.0741 	 -0.0153 	 0.0004 	 152.6012
  0.2469 	 0.0741 	 -0.0404 	 0.0011 	 403.8258
  0.3086 	 0.0741 	 -0.0771 	 0.0021 	 771.2796
  0.3704 	 0.0741 	 -0.1019 	 0.0027 	 1018.9677
  0.4321 	 0.0741 	 -0.0816 	 0.0024 	 816.1324
  0.4938 	 0.0741 	 -0.0133 	 0.0016 	 134.0379
  0.5556 	 0.0741 	 0.0625 	 0.0017 	 624.9557
  0.6173 	 0.0741 	 0.0982 	 0.0021 	 982.2355
  0.6790 	 0.0741 	 0.0860 	 0.0023 	 860.7728
  0.7407 	 0.0741 	 0.0525 	 0.0016 	 525.1286
  0.8025 	 0.0741 	 0.0239 	 0.0007 	 239.0614
  0.8642 	 0.0741 	 0.0085 	 0.0002 	 84.8879
  0.9259 	 0.0741 	 0.0024 	 0.0000 	 24.1765
  0.0617 	 0.1111 	 -0.0007 	 -0.0000 	 7.3399
  0.1235 	 0.1111 	 -0.0037 	 -0.0001 	 37.2729
  0.1852 	 0.1111 	 -0.0137 	 -0.0001 	 136.9634
  0.2469 	 0.1111 	 -0.0372 	 0.0001 	 372.4641
  0.3086 	 0.1111 	 -0.0734 	 0.0008 	 734.2689
  0.3704 	 0.1111 	 -0.0993 	 0.0021 	 993.6853
  0.4321 	 0.1111 	 -0.0807 	 0.0029 	 807.4146
  0.4938 	 0.1111 	 -0.0121 	 0.0035 	 125.7245
  0.5556 	 0.1111 	 0.0632 	 0.0034 	 633.2642
  0.6173 	 0.1111 	 0.0965 	 0.0025 	 965.3895
  0.6790 	 0.1111 	 0.0817 	 0.0014 	 816.7208
  0.7407 	 0.1111 	 0.0480 	 0.0004 	 480.3041
  0.8025 	 0.1111 	 0.0213 	 -0.0000 	 213.4910
  0.8642 	 0.1111 	 0.0075 	 -0.0001 	 75.4518
  0.9259 	 0.1111 	 0.0022 	 -0.0000 	 21.7627
  0.0617 	 0.1481 	 -0.0006 	 -0.0000 	 6.3565
  0.1235 	 0.1481 	 -0.0032 	 -0.0001 	 31.9272
  0.1852 	 0.1481 	 -0.0113 	 -0.0004 	 113.1217
  0.2469 	 0.1481 	 -0.0295 	 -0.0008 	 295.4558
  0.3086 	 0.1481 	 -0.0555 	 -0.0008 	 555.4167
  0.3704 	 0.1481 	 -0.0722 	 0.0005 	 721.7122
  0.4321 	 0.1481 	 -0.0565 	 0.0034 	 566.3522
  0.4938 	 0.1481 	 -0.0072 	 0.0055 	 90.4843
  0.5556 	 0.1481 	 0.0450 	 0.0047 	 452.0395
  0.6173 	 0.1481 	 0.0683 	 0.0021 	 682.9960
  0.6790 	 0.1481 	 0.0594 	 -0.0002 	 593.5656
  0.7407 	 0.1481 	 0.0368 	 -0.0009 	 368.3606
  0.8025 	 0.1481 	 0.0176 	 -0.0006 	 175.7654
  0.8642 	 0.1481 	 0.0066 	 -0.0002 	 66.4022
  0.9259 	 0.1481 	 0.0020 	 -0.0001 	 20.1281
  0.0617 	 0.1852 	 -0.0007 	 -0.0000 	 7.0055
  0.1235 	 0.1852 	 -0.0034 	 -0.0000 	 34.4558
  0.1852 	 0.1852 	 -0.0119 	 -0.0001 	 119.1830
  0.2469 	 0.1852 	 -0.0300 	 -0.0004 	 300.0658
  0.3086 	 0.1852 	 -0.0540 	 -0.0003 	 540.3362
  0.3704 	 0.1852 	 -0.0676 	 0.0004 	 675.9274
  0.4321 	 0.1852 	 -0.0515 	 0.0022 	 515.6439
  0.4938 	 0.1852 	 -0.0073 	 0.0033 	 80.5891
  0.5556 	 0.1852 	 0.0398 	 0.0027 	 398.6484
  0.6173 	 0.1852 	 0.0629 	 0.0012 	 629.6012
  0.6790 	 0.1852 	 0.0576 	 -0.0001 	 575.6218
  0.7407 	 0.1852 	 0.0377 	 -0.0002 	 377.3605
  0.8025 	 0.1852 	 0.0187 	 -0.0001 	 186.6571
  0.8642 	 0.1852 	 0.0071 	 -0.0001 	 71.4525
  0.9259 	 0.1852 	 0.0022 	 -0.0000 	 21.7260
  0.0617 	 0.2222 	 -0.0008 	 -0.0000 	 8.3895
  0.1235 	 0.2222 	 -0.0041 	 -0.0000 	 41.2117
  0.1852 	 0.2222 	 -0.0145 	 0.0001 	 145.0579
  0.2469 	 0.2222 	 -0.0375 	 0.0003 	 375.3292
  0.3086 	 0.2222 	 -0.0704 	 0.0007 	 704.4889
  0.3704 	 0.2222 	 -0.0917 	 0.0010 	 917.1753
  0.4321 	 0.2222 	 -0.0730 	 0.0008 	 730.4596
  0.4938 	 0.2222 	 -0.0119 	 0.0003 	 119.2191
  0.5556 	 0.2222 	 0.0554 	 0.0004 	 553.7633
  0.6173 	 0.2222 	 0.0879 	 0.0006 	 879.0860
  0.6790 	 0.2222 	 0.0782 	 0.0009 	 781.8232
  0.7407 	 0.2222 	 0.0486 	 0.0006 	 486.5162
  0.8025 	 0.2222 	 0.0227 	 0.0002 	 227.2078
  0.8642 	 0.2222 	 0.0083 	 0.0000 	 83.0189
  0.9259 	 0.2222 	 0.0024 	 -0.0000 	 24.2495
  0.0617 	 0.2593 	 -0.0009 	 -0.0000 	 8.7649
  0.1235 	 0.2593 	 -0.0043 	 -0.0001 	 42.9273
  0.1852 	 0.2593 	 -0.0152 	 -0.0002 	 152.4659
  0.2469 	 0.2593 	 -0.0404 	 -0.0001 	 403.5501
  0.3086 	 0.2593 	 -0.0777 	 0.0002 	 776.9667
  0.3704 	 0.2593 	 -0.1039 	 0.0008 	 1038.9711
  0.4321 	 0.2593 	 -0.0838 	 0.0010 	 838.3275
  0.4938 	 0.2593 	 -0.0132 	 0.0010 	 132.3295
  0.5556 	 0.2593 	 0.0650 	 0.0011 	 649.8584
  0.6173 	 0.2593 	 0.1007 	 0.0009 	 1007.3027
  0.6790 	 0.2593 	 0.0867 	 0.0007 	 867.5172
  0.7407 	 0.2593 	 0.0520 	 0.0001 	 520.2017
  0.8025 	 0.2593 	 0.0236 	 -0.0001 	 235.5596
  0.8642 	 0.2593 	 0.0084 	 -0.0001 	 84.3115
  0.9259 	 0.2593 	 0.0024 	 -0.0001 	 24.4703
  0.0617 	 0.2963 	 -0.0008 	 -0.0001 	 7.7279
  0.1235 	 0.2963 	 -0.0038 	 -0.0002 	 37.5824
  0.1852 	 0.2963 	 -0.0130 	 -0.0005 	 130.2771
  0.2469 	 0.2963 	 -0.0335 	 -0.0010 	 334.9079
  0.3086 	 0.2963 	 -0.0623 	 -0.0010 	 622.8189
  0.3704 	 0.2963 	 -0.0803 	 0.0007 	 802.6751
  0.4321 	 0.2963 	 -0.0628 	 0.0038 	 629.5803
  0.4938 	 0.2963 	 -0.0084 	 0.0061 	 103.7813
  0.5556 	 0.2963 	 0.0498 	 0.0054 	 500.9288
  0.6173 	 0.2963 	 0.0765 	 0.0027 	 765.3643
  0.6790 	 0.2963 	 0.0670 	 0.0002 	 669.8359
  0.7407 	 0.2963 	 0.0417 	 -0.0007 	 416.7090
  0.8025 	 0.2963 	 0.0198 	 -0.0005 	 197.7814
  0.8642 	 0.2963 	 0.0074 	 -0.0003 	 73.9006
  0.9259 	 0.2963 	 0.0022 	 -0.0001 	 22.3507
  0.0617 	 0.3333 	 -0.0007 	 -0.0001 	 7.1838
  0.1235 	 0.3333 	 -0.0035 	 -0.0001 	 34.5932
  0.1852 	 0.3333 	 -0.0117 	 -0.0001 	 117.1179
  0.2469 	 0.3333 	 -0.0287 	 0.0003 	 287.4878
  0.3086 	 0.3333 	 -0.0508 	 0.0017 	 508.2527
  0.3704 	 0.3333 	 -0.0622 	 0.0052 	 623.9909
  0.4321 	 0.3333 	 -0.0467 	 0.0098 	 477.0806
  0.4938 	 0.3333 	 -0.0060 	 0.0125 	 138.4630
  0.5556 	 0.3333 	 0.0367 	 0.0112 	 383.5898
  0.6173 	 0.3333 	 0.0578 	 0.0075 	 583.2114
  0.6790 	 0.3333 	 0.0533 	 0.0038 	 534.1448
  0.7407 	 0.3333 	 0.0353 	 0.0017 	 353.7374
  0.8025 	 0.3333 	 0.0177 	 0.0006 	 177.0209
  0.8642 	 0.3333 	 0.0069 	 0.0002 	 69.1299
  0.9259 	 0.3333 	 0.0021 	 0.0000 	 21.3155
  0.0617 	 0.3704 	 -0.0008 	 -0.0000 	 7.5424
  0.1235 	 0.3704 	 -0.0038 	 0.0004 	 37.8715
  0.1852 	 0.3704 	 -0.0129 	 0.0015 	 130.0446
  0.2469 	 0.3704 	 -0.0325 	 0.0045 	 328.5267
  0.3086 	 0.3704 	 -0.0597 	 0.0096 	 605.0918
  0.3704 	 0.3704 	 -0.0770 	 0.0151 	 784.1129
  0.4321 	 0.3704 	 -0.0608 	 0.0179 	 634.2973
  0.4938 	 0.3704 	 -0.0100 	 0.0175 	 201.7097
  0.5556 	 0.3704 	 0.0461 	 0.0162 	 488.4956
  0.6173 	 0.3704 	 0.0737 	 0.0146 	 751.2535
  0.6790 	 0.3704 	 0.0662 	 0.0118 	 672.1358
  0.7407 	 0.3704 	 0.0416 	 0.0076 	 422.9024
  0.8025 	 0.3704 	 0.0198 	 0.0037 	 201.7170
  0.8642 	 0.3704 	 0.0074 	 0.0014 	 75.1477
