 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4375 	 -0.0008 	 -0.0015 	 17.1852  
  0.2469 	 0.4375 	 -0.0018 	 -0.0037 	 41.3669  
  0.3086 	 0.4375 	 -0.0033 	 -0.0037 	 49.7816  
  0.3704 	 0.4375 	 -0.0042 	 -0.0033 	 53.3484  
  0.4321 	 0.4376 	 -0.0032 	 0.0022 	 38.4007  
  0.4938 	 0.4376 	 -0.0000 	 0.0051 	 51.3224  
  0.5556 	 0.4376 	 0.0031 	 0.0020 	 36.5992  
  0.6173 	 0.4375 	 0.0042 	 -0.0032 	 53.1451  
  0.6790 	 0.4375 	 0.0034 	 -0.0041 	 52.6918  
  0.7407 	 0.4375 	 0.0018 	 -0.0033 	 37.7763  
  0.8025 	 0.4375 	 0.0008 	 -0.0016 	 18.2463  
 
