 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4158 	 0.0000 	 0.0000 	 0.0000  
  0.2469 	 0.4127 	 0.0000 	 0.0000 	 0.0000  
  0.3086 	 0.4275 	 0.0000 	 0.0000 	 0.0000  
  0.3704 	 0.4604 	 -0.0000 	 0.0000 	 0.0000  
  0.4321 	 0.4892 	 -0.0000 	 0.0000 	 0.0000  
  0.4938 	 0.4997 	 -0.0000 	 -0.0000 	 0.0000  
  0.5556 	 0.4894 	 0.0000 	 0.0000 	 0.0000  
  0.6173 	 0.4607 	 0.0000 	 0.0000 	 0.0000  
  0.6790 	 0.4278 	 0.0000 	 0.0000 	 0.0000  
  0.7407 	 0.4129 	 -0.0000 	 0.0000 	 0.0000  
  0.8025 	 0.4151 	 -0.0000 	 0.0000 	 0.0000  
 
