 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0066 	 0.0026 	 70.7048
  0.1235 	 0.0370 	 0.0019 	 -0.0019 	 26.9136
  0.1852 	 0.0370 	 0.0008 	 0.0003 	 8.2473
  0.2469 	 0.0370 	 0.0010 	 0.0001 	 9.7410
  0.3086 	 0.0370 	 0.0007 	 0.0001 	 6.6263
  0.3704 	 0.0370 	 0.0003 	 0.0001 	 3.3300
  0.4321 	 0.0370 	 0.0000 	 0.0001 	 0.6935
  0.4938 	 0.0370 	 -0.0002 	 0.0000 	 1.5664
  0.5556 	 0.0370 	 -0.0003 	 0.0000 	 3.4453
  0.6173 	 0.0370 	 -0.0006 	 0.0001 	 6.0877
  0.6790 	 0.0370 	 -0.0010 	 0.0001 	 9.8079
  0.7407 	 0.0370 	 -0.0014 	 0.0001 	 13.8329
  0.8025 	 0.0370 	 -0.0017 	 0.0001 	 16.7527
  0.8642 	 0.0370 	 -0.0013 	 0.0003 	 13.3300
  0.9259 	 0.0370 	 -0.0032 	 -0.0021 	 37.9533
  0.0617 	 0.0741 	 0.0012 	 0.0043 	 44.5688
  0.1235 	 0.0741 	 0.0016 	 -0.0012 	 19.8793
  0.1852 	 0.0741 	 0.0023 	 -0.0001 	 22.6342
  0.2469 	 0.0741 	 0.0024 	 0.0002 	 24.2057
  0.3086 	 0.0741 	 0.0019 	 0.0004 	 19.2424
  0.3704 	 0.0741 	 0.0012 	 0.0004 	 12.6499
  0.4321 	 0.0741 	 0.0005 	 0.0003 	 6.3202
  0.4938 	 0.0741 	 -0.0000 	 0.0003 	 2.8087
  0.5556 	 0.0741 	 -0.0006 	 0.0003 	 6.6987
  0.6173 	 0.0741 	 -0.0012 	 0.0004 	 13.0887
  0.6790 	 0.0741 	 -0.0020 	 0.0005 	 20.6132
  0.7407 	 0.0741 	 -0.0027 	 0.0005 	 27.6531
  0.8025 	 0.0741 	 -0.0032 	 0.0002 	 31.6409
  0.8642 	 0.0741 	 -0.0027 	 -0.0002 	 26.9159
  0.9259 	 0.0741 	 -0.0019 	 -0.0014 	 23.8364
  0.0617 	 0.1111 	 -0.0001 	 0.0005 	 5.3502
  0.1235 	 0.1111 	 0.0035 	 -0.0020 	 40.0524
  0.1852 	 0.1111 	 0.0044 	 -0.0005 	 44.4381
  0.2469 	 0.1111 	 0.0045 	 0.0005 	 44.9232
  0.3086 	 0.1111 	 0.0036 	 0.0010 	 37.5929
  0.3704 	 0.1111 	 0.0024 	 0.0011 	 26.4956
  0.4321 	 0.1111 	 0.0012 	 0.0009 	 15.2077
  0.4938 	 0.1111 	 0.0001 	 0.0008 	 8.0779
  0.5556 	 0.1111 	 -0.0010 	 0.0008 	 12.7767
  0.6173 	 0.1111 	 -0.0021 	 0.0011 	 23.8956
  0.6790 	 0.1111 	 -0.0035 	 0.0012 	 36.6702
