 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0106 	 0.0036 	 111.9649
  0.1235 	 0.0370 	 0.0020 	 -0.0014 	 24.5970
  0.1852 	 0.0370 	 0.0028 	 0.0000 	 28.2027
  0.2469 	 0.0370 	 0.0030 	 0.0001 	 30.3751
  0.3086 	 0.0370 	 0.0027 	 0.0003 	 27.1502
  0.3704 	 0.0370 	 0.0020 	 0.0004 	 19.9484
  0.4321 	 0.0370 	 0.0010 	 0.0004 	 10.7445
  0.4938 	 0.0370 	 -0.0001 	 0.0004 	 4.4819
  0.5556 	 0.0370 	 -0.0012 	 0.0004 	 12.5531
  0.6173 	 0.0370 	 -0.0022 	 0.0004 	 22.5888
  0.6790 	 0.0370 	 -0.0031 	 0.0004 	 31.3338
  0.7407 	 0.0370 	 -0.0037 	 0.0002 	 36.9990
  0.8025 	 0.0370 	 -0.0038 	 0.0000 	 37.6752
  0.8642 	 0.0370 	 -0.0032 	 -0.0000 	 31.9260
  0.9259 	 0.0370 	 -0.0030 	 -0.0015 	 33.5104
  0.0617 	 0.0741 	 0.0002 	 0.0038 	 38.2535
  0.1235 	 0.0741 	 0.0023 	 -0.0017 	 28.6397
  0.1852 	 0.0741 	 0.0037 	 -0.0005 	 37.1375
  0.2469 	 0.0741 	 0.0040 	 0.0001 	 39.9773
  0.3086 	 0.0741 	 0.0036 	 0.0007 	 36.3983
  0.3704 	 0.0741 	 0.0026 	 0.0010 	 28.1982
  0.4321 	 0.0741 	 0.0014 	 0.0012 	 18.5182
  0.4938 	 0.0741 	 0.0000 	 0.0013 	 13.3881
  0.5556 	 0.0741 	 -0.0014 	 0.0013 	 19.2272
  0.6173 	 0.0741 	 -0.0027 	 0.0012 	 30.0202
  0.6790 	 0.0741 	 -0.0039 	 0.0010 	 40.2138
  0.7407 	 0.0741 	 -0.0046 	 0.0006 	 46.5913
  0.8025 	 0.0741 	 -0.0047 	 -0.0000 	 46.9797
  0.8642 	 0.0741 	 -0.0040 	 -0.0007 	 40.1513
  0.9259 	 0.0741 	 -0.0023 	 -0.0019 	 29.5738
  0.0617 	 0.1111 	 0.0014 	 -0.0015 	 20.5161
  0.1235 	 0.1111 	 0.0036 	 -0.0025 	 43.4073
  0.1852 	 0.1111 	 0.0050 	 -0.0010 	 50.6424
  0.2469 	 0.1111 	 0.0054 	 0.0002 	 54.4549
  0.3086 	 0.1111 	 0.0050 	 0.0012 	 51.4185
  0.3704 	 0.1111 	 0.0038 	 0.0019 	 42.5937
  0.4321 	 0.1111 	 0.0021 	 0.0023 	 31.3125
  0.4938 	 0.1111 	 0.0002 	 0.0025 	 24.8587
  0.5556 	 0.1111 	 -0.0019 	 0.0025 	 30.9640
  0.6173 	 0.1111 	 -0.0037 	 0.0023 	 43.6543
  0.6790 	 0.1111 	 -0.0052 	 0.0018 	 55.0908
  0.7407 	 0.1111 	 -0.0060 	 0.0010 	 61.2871
  0.8025 	 0.1111 	 -0.0060 	 -0.0001 	 60.4318
  0.8642 	 0.1111 	 -0.0051 	 -0.0013 	 52.5561
  0.9259 	 0.1111 	 -0.0034 	 -0.0027 	 43.7276
  0.0617 	 0.1481 	 0.0023 	 -0.0038 	 44.3578
  0.1235 	 0.1481 	 0.0048 	 -0.0036 	 59.5030
