 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4375 	 0.0001 	 0.0024 	 23.5561  
  0.2469 	 0.4375 	 0.0002 	 0.0089 	 89.3776  
  0.3086 	 0.4377 	 0.0005 	 0.0255 	 255.3902  
  0.3704 	 0.4379 	 0.0007 	 0.0541 	 541.3529  
  0.4321 	 0.4382 	 0.0006 	 0.0848 	 847.5457  
  0.4938 	 0.4383 	 -0.0000 	 0.0981 	 980.6852  
  0.5556 	 0.4382 	 -0.0006 	 0.0835 	 835.1614  
  0.6173 	 0.4379 	 -0.0007 	 0.0526 	 525.7855  
  0.6790 	 0.4376 	 -0.0005 	 0.0244 	 244.4412  
  0.7407 	 0.4375 	 -0.0002 	 0.0084 	 84.4045  
  0.8025 	 0.4375 	 -0.0001 	 0.0022 	 21.8966  
 
