 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0051 	 0.0022 	 55.2192
  0.1235 	 0.0370 	 0.0014 	 -0.0016 	 20.6781
  0.1852 	 0.0370 	 0.0004 	 0.0003 	 4.4608
  0.2469 	 0.0370 	 0.0005 	 0.0001 	 4.3833
  0.3086 	 0.0370 	 0.0002 	 0.0001 	 1.3743
  0.3704 	 0.0370 	 -0.0001 	 0.0000 	 1.0900
  0.4321 	 0.0370 	 -0.0002 	 -0.0001 	 2.1114
  0.4938 	 0.0370 	 -0.0002 	 -0.0001 	 1.9690
  0.5556 	 0.0370 	 -0.0002 	 -0.0001 	 1.5859
  0.6173 	 0.0370 	 -0.0003 	 0.0000 	 2.4384
  0.6790 	 0.0370 	 -0.0006 	 0.0001 	 5.4520
  0.7407 	 0.0370 	 -0.0010 	 0.0001 	 9.4261
  0.8025 	 0.0370 	 -0.0013 	 0.0001 	 12.6714
  0.8642 	 0.0370 	 -0.0011 	 0.0002 	 10.6619
  0.9259 	 0.0370 	 -0.0026 	 -0.0017 	 30.6877
  0.0617 	 0.0741 	 0.0010 	 0.0034 	 35.2146
  0.1235 	 0.0741 	 0.0012 	 -0.0010 	 15.2796
  0.1852 	 0.0741 	 0.0017 	 -0.0001 	 16.3770
  0.2469 	 0.0741 	 0.0017 	 0.0002 	 16.6781
  0.3086 	 0.0741 	 0.0012 	 0.0003 	 11.9558
  0.3704 	 0.0741 	 0.0006 	 0.0002 	 6.4649
  0.4321 	 0.0741 	 0.0002 	 0.0001 	 2.0171
  0.4938 	 0.0741 	 -0.0001 	 -0.0000 	 1.0256
  0.5556 	 0.0741 	 -0.0004 	 0.0000 	 3.5601
  0.6173 	 0.0741 	 -0.0008 	 0.0002 	 8.1162
  0.6790 	 0.0741 	 -0.0015 	 0.0004 	 14.6653
  0.7407 	 0.0741 	 -0.0022 	 0.0004 	 21.2845
  0.8025 	 0.0741 	 -0.0026 	 0.0002 	 25.4112
  0.8642 	 0.0741 	 -0.0023 	 -0.0002 	 22.2228
  0.9259 	 0.0741 	 -0.0016 	 -0.0013 	 20.2100
  0.0617 	 0.1111 	 -0.0000 	 0.0003 	 3.7885
  0.1235 	 0.1111 	 0.0029 	 -0.0017 	 32.1406
  0.1852 	 0.1111 	 0.0036 	 -0.0004 	 34.7957
  0.2469 	 0.1111 	 0.0035 	 0.0004 	 34.1699
  0.3086 	 0.1111 	 0.0027 	 0.0007 	 27.2888
