 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0001 	 -0.0000 	 0.8437
  0.1235 	 0.0370 	 -0.0001 	 0.0000 	 0.4609
  0.1852 	 0.0370 	 -0.0003 	 0.0002 	 1.7619
  0.2469 	 0.0370 	 -0.0011 	 0.0006 	 4.7727
  0.3086 	 0.0370 	 -0.0020 	 0.0009 	 9.4417
  0.3704 	 0.0370 	 -0.0024 	 0.0002 	 12.8576
  0.4321 	 0.0370 	 -0.0019 	 -0.0018 	 10.3101
  0.4938 	 0.0370 	 -0.0005 	 -0.0035 	 4.0726
  0.5556 	 0.0370 	 0.0012 	 -0.0029 	 9.5839
  0.6173 	 0.0370 	 0.0024 	 -0.0007 	 11.9874
  0.6790 	 0.0370 	 0.0025 	 0.0008 	 9.4031
  0.7407 	 0.0370 	 0.0015 	 0.0009 	 5.6750
  0.8025 	 0.0370 	 0.0006 	 0.0004 	 2.8001
  0.8642 	 0.0370 	 0.0001 	 0.0001 	 1.1697
  0.9259 	 0.0370 	 -0.0000 	 0.0000 	 0.4596
  0.0617 	 0.0741 	 0.0001 	 0.0000 	 0.4076
  0.1235 	 0.0741 	 0.0002 	 -0.0000 	 1.3240
  0.1852 	 0.0741 	 0.0006 	 -0.0000 	 3.9765
  0.2469 	 0.0741 	 0.0011 	 -0.0000 	 8.4999
  0.3086 	 0.0741 	 0.0010 	 -0.0001 	 12.3467
  0.3704 	 0.0741 	 0.0002 	 -0.0005 	 11.9549
  0.4321 	 0.0741 	 -0.0005 	 -0.0013 	 6.7813
  0.4938 	 0.0741 	 -0.0003 	 -0.0018 	 1.2414
  0.5556 	 0.0741 	 0.0003 	 -0.0016 	 6.1473
  0.6173 	 0.0741 	 0.0001 	 -0.0007 	 9.8838
  0.6790 	 0.0741 	 -0.0006 	 -0.0001 	 11.0508
  0.7407 	 0.0741 	 -0.0010 	 0.0001 	 9.1376
  0.8025 	 0.0741 	 -0.0007 	 0.0000 	 5.3812
  0.8642 	 0.0741 	 -0.0003 	 -0.0000 	 2.3105
  0.9259 	 0.0741 	 -0.0001 	 -0.0000 	 0.8221
  0.0617 	 0.1111 	 0.0001 	 -0.0000 	 0.4469
  0.1235 	 0.1111 	 0.0004 	 -0.0000 	 2.2022
  0.1852 	 0.1111 	 0.0013 	 -0.0001 	 7.6775
  0.2469 	 0.1111 	 0.0036 	 -0.0003 	 19.5907
  0.3086 	 0.1111 	 0.0072 	 -0.0006 	 35.9423
  0.3704 	 0.1111 	 0.0097 	 -0.0008 	 45.5923
  0.4321 	 0.1111 	 0.0078 	 -0.0006 	 35.1258
  0.4938 	 0.1111 	 0.0012 	 -0.0003 	 7.2542
  0.5556 	 0.1111 	 -0.0062 	 -0.0004 	 28.7296
  0.6173 	 0.1111 	 -0.0096 	 -0.0006 	 43.9967
  0.6790 	 0.1111 	 -0.0082 	 -0.0007 	 38.8521
  0.7407 	 0.1111 	 -0.0047 	 -0.0004 	 23.9616
  0.8025 	 0.1111 	 -0.0019 	 -0.0002 	 10.8630
  0.8642 	 0.1111 	 -0.0006 	 -0.0000 	 3.7732
  0.9259 	 0.1111 	 -0.0002 	 -0.0000 	 1.0868
  0.0617 	 0.1481 	 0.0000 	 -0.0000 	 0.3638
  0.1235 	 0.1481 	 0.0002 	 0.0000 	 1.8533
  0.1852 	 0.1481 	 0.0007 	 0.0000 	 6.9679
  0.2469 	 0.1481 	 0.0024 	 -0.0000 	 19.4755
  0.3086 	 0.1481 	 0.0054 	 -0.0002 	 39.5745
